sub_segment,first_order_purchase,last_order_purchase,diff_order_purchase
active_high_payment_value,54.49309090909091,119.89381818181818,65.0
active_low_payment_value,57.251783166904424,116.7960057061341,60.0
cold_high_payment_value,140.44927766312114,433.62200349261786,293.0
cold_low_payment_value,149.0661380428906,431.76446206523696,283.0
hot_high_payment_value,107.44158043273754,266.44571966133583,159.0
hot_low_payment_value,112.78109452736318,265.36298507462686,153.0
inactive,160.18119022316685,560.9891073326248,401.0
